location,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction
unit,°C,mm,%,km/h,°
level,2 m elevation corrected,sfc,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20211028T0600,6.3105288,0.0,76.0,8.089993,110.854454
20211028T0700,6.1305285,0.0,76.0,9.0,106.2602
20211028T0800,5.8205285,0.0,80.0,9.793058,107.10272
20211028T0900,7.7305284,0.0,76.0,10.931203,107.241455
20211028T1000,10.630529,0.0,68.0,10.390226,104.03624
20211028T1100,13.250529,0.0,63.0,7.771331,103.392494
20211028T1200,15.270529,0.0,53.0,3.2599385,96.34019
20211028T1300,16.46053,0.0,47.0,5.7599998,89.99999
20211028T1400,17.56053,0.0,43.0,2.8799999,89.99999
20211028T1500,17.930529,0.0,40.0,3.9763298,95.19443
20211028T1600,17.82053,0.0,41.0,5.0528407,94.08562
20211028T1700,17.420528,0.0,43.0,7.2,89.99999
20211028T1800,16.110529,0.0,52.0,9.904906,109.09349
20211028T1900,13.670529,0.0,64.0,10.587918,125.31121
20211028T2000,12.0505295,0.0,66.0,10.383987,146.30994
20211028T2100,11.920529,0.0,58.0,9.793059,143.97263
20211028T2200,11.480529,0.0,64.0,10.009036,142.30576
20211028T2300,11.160529,0.0,64.0,9.686609,138.01279
20211029T0000,10.390529,0.0,61.0,9.422101,136.54816
20211029T0100,9.620529,0.0,57.0,9.220499,128.6598
20211029T0200,8.730529,0.0,60.0,8.287822,124.38034
20211029T0300,8.260529,0.0,62.0,6.638072,130.60129
20211029T0400,8.660529,0.0,56.0,7.386582,133.02505
20211029T0500,8.840529,0.0,54.0,8.287822,124.38034
20211029T0600,8.180529,0.0,57.0,9.178235,115.55997
20211029T0700,6.8805285,0.0,63.0,10.365251,110.323135
20211029T0800,6.0705285,0.0,69.0,11.384199,108.434944
20211029T0900,8.080529,0.0,65.0,10.931203,107.241455
20211029T1000,11.280529,0.0,59.0,10.739833,103.570435
20211029T1100,14.070529,0.0,54.0,10.661107,101.68936
20211029T1200,16.29053,0.0,47.0,9.47012,98.74616
20211029T1300,17.20053,0.0,45.0,11.609651,97.125015
